experiment,mode,control,paired_end,genome,strand_specific,moeity,ip_type,sample_name,read_length,GSM,Group,Species,Cell,Genotype,Other,Condition,Replicate,ControlType,Shearing_method,SRX,mode_group,clean_name,corr_min,corr_max,corr_median,corr_mean,corr_sd,corr_skewness,corr_kurtosis,corr_method,rlfs_min,rlfs_max,rlfs_median,rlfs_mean,rlfs_sd,rlfs_skewness,rlfs_kurtosis,rlfs_method,rlfs_pval,3UTR__Number of peaks,3UTR__Total size (bp),3UTR__Log2 Ratio (obs/exp),3UTR__LogP enrichment (+values depleted),Retroposon__Number of peaks,Retroposon__Total size (bp),Retroposon__Log2 Ratio (obs/exp),Retroposon__LogP enrichment (+values depleted),RNA__Number of peaks,RNA__Total size (bp),RNA__Log2 Ratio (obs/exp),RNA__LogP enrichment (+values depleted),miRNA__Number of peaks,miRNA__Total size (bp),miRNA__Log2 Ratio (obs/exp),miRNA__LogP enrichment (+values depleted),ncRNA__Number of peaks,ncRNA__Total size (bp),ncRNA__Log2 Ratio (obs/exp),ncRNA__LogP enrichment (+values depleted),TTS__Number of peaks,TTS__Total size (bp),TTS__Log2 Ratio (obs/exp),TTS__LogP enrichment (+values depleted),LINE__Number of peaks,LINE__Total size (bp),LINE__Log2 Ratio (obs/exp),LINE__LogP enrichment (+values depleted),srpRNA__Number of peaks,srpRNA__Total size (bp),srpRNA__Log2 Ratio (obs/exp),srpRNA__LogP enrichment (+values depleted),SINE__Number of peaks,SINE__Total size (bp),SINE__Log2 Ratio (obs/exp),SINE__LogP enrichment (+values depleted),RC__Number of peaks,RC__Total size (bp),RC__Log2 Ratio (obs/exp),RC__LogP enrichment (+values depleted),tRNA__Number of peaks,tRNA__Total size (bp),tRNA__Log2 Ratio (obs/exp),tRNA__LogP enrichment (+values depleted),pseudo__Number of peaks,pseudo__Total size (bp),pseudo__Log2 Ratio (obs/exp),pseudo__LogP enrichment (+values depleted),DNA__Number of peaks,DNA__Total size (bp),DNA__Log2 Ratio (obs/exp),DNA__LogP enrichment (+values depleted),Exon__Number of peaks,Exon__Total size (bp),Exon__Log2 Ratio (obs/exp),Exon__LogP enrichment (+values depleted),Intron__Number of peaks,Intron__Total size (bp),Intron__Log2 Ratio (obs/exp),Intron__LogP enrichment (+values depleted),Intergenic__Number of peaks,Intergenic__Total size (bp),Intergenic__Log2 Ratio (obs/exp),Intergenic__LogP enrichment (+values depleted),Promoter__Number of peaks,Promoter__Total size (bp),Promoter__Log2 Ratio (obs/exp),Promoter__LogP enrichment (+values depleted),5UTR__Number of peaks,5UTR__Total size (bp),5UTR__Log2 Ratio (obs/exp),5UTR__LogP enrichment (+values depleted),snoRNA__Number of peaks,snoRNA__Total size (bp),snoRNA__Log2 Ratio (obs/exp),snoRNA__LogP enrichment (+values depleted),scRNA__Number of peaks,scRNA__Total size (bp),scRNA__Log2 Ratio (obs/exp),scRNA__LogP enrichment (+values depleted),CpG-Island__Number of peaks,CpG-Island__Total size (bp),CpG-Island__Log2 Ratio (obs/exp),CpG-Island__LogP enrichment (+values depleted),Low_complexity__Number of peaks,Low_complexity__Total size (bp),Low_complexity__Log2 Ratio (obs/exp),Low_complexity__LogP enrichment (+values depleted),LTR__Number of peaks,LTR__Total size (bp),LTR__Log2 Ratio (obs/exp),LTR__LogP enrichment (+values depleted),Simple_repeat__Number of peaks,Simple_repeat__Total size (bp),Simple_repeat__Log2 Ratio (obs/exp),Simple_repeat__LogP enrichment (+values depleted),snRNA__Number of peaks,snRNA__Total size (bp),snRNA__Log2 Ratio (obs/exp),snRNA__LogP enrichment (+values depleted),Unknown__Number of peaks,Unknown__Total size (bp),Unknown__Log2 Ratio (obs/exp),Unknown__LogP enrichment (+values depleted),Satellite__Number of peaks,Satellite__Total size (bp),Satellite__Log2 Ratio (obs/exp),Satellite__LogP enrichment (+values depleted),rRNA__Number of peaks,rRNA__Total size (bp),rRNA__Log2 Ratio (obs/exp),rRNA__LogP enrichment (+values depleted),Other__Number of peaks,Other__Total size (bp),Other__Log2 Ratio (obs/exp),Other__LogP enrichment (+values depleted),ARTEFACT__Number of peaks,ARTEFACT__Total size (bp),ARTEFACT__Log2 Ratio (obs/exp),ARTEFACT__LogP enrichment (+values depleted),miscRNA__Number of peaks,miscRNA__Total size (bp),miscRNA__Log2 Ratio (obs/exp),miscRNA__LogP enrichment (+values depleted),MACS2__Distinct Peak Count,EPIC2__Distinct Peak Count,MACS2__Overlapping Peak Count,EPIC2__Overlapping Peak Count,MACS2__Percentage Peaks Overlapping,EPIC2__Percentage Peaks Overlapping,MACS2__total_peaks,EPIC2__total_peaks,reads_before,reads_after,percent_passing,gc_content,read_length_after_filter,reads_aligned,pct_aligned,duplicate_reads,pct_duplicated
SRR5572812,DRIP,SRR5572810,FALSE,dm6,FALSE,DNA,S9.6,SRX2831478_R-_2_dsH1_0030,50,GSM2630118,Azorin,DM,S2,dsH1,NT,S9.6,NA,Input,SON,SRX2831478,DRIP,DRIP_S2_Azorin_S9.6_SRX2831478,NA,NA,NA,NA,NA,NA,NA,NA,-5000,5000,50,155.403811484075,2315.12362806487,-0.110052773991421,2.7772482453341,unbiased,2.699837725867246,     328.000, 2389543.000,      -0.005,       0.711,NA,NA,NA,NA,       0.000,    2863.000,      -0.480,       0.394,       5.000,   50209.000,      -0.468,       1.166,     226.000, 1067154.000,       0.621,     -20.994,    1290.000,13573886.000,      -0.535,     113.838,     456.000, 5371627.000,      -0.698,      68.350,NA,NA,NA,NA,NA,NA,NA,NA,     144.000,  757974.000,       0.464,      -8.929,NA,NA,NA,NA,NA,NA,NA,NA,      53.000, 1549474.000,      -2.009,      89.867,    1903.000,15375943.000,      -0.154,      15.089,    6708.000,38836708.000,       0.327,    -233.590,    2784.000,20200620.000,       0.001,      -0.723,    1776.000,19151273.000,      -0.570,     184.931,     356.000, 1504344.000,       0.781,     -47.494,NA,NA,NA,NA,NA,NA,NA,NA,     586.000, 2952049.000,       0.528,     -38.616,     213.000,  300347.000,       2.365,    -181.618,     597.000,12154544.000,      -1.487,     497.763,    1584.000, 2185624.000,       2.396,   -1396.802,NA,NA,NA,NA,       1.000,   45251.000,      -2.640,       4.254,      18.000,  657182.000,      -2.330,      45.721,       3.000,   35378.000,      -0.700,       1.261,       0.000,   29798.000,      -2.352,       4.104,       0.000,      52.000,      -0.010,       0.007,       0.000,    3400.000,      -0.554,       0.468,20530.0,  124.0,19035.0, 1131.0,   48.1,   90.1,39565.0, 1255.0,26013716,25878628,99.5,0.429676,50,13546346,52.345688496314416,1827840,7.063125603103843
SRR5572813,DRIP,SRR5572810,FALSE,dm6,FALSE,DNA,S9.6,SRX2831479_Rand_2_dsH1_0030,50,GSM2630119,Azorin,DM,S2,dsH1,RNH,S9.6,NA,Input,SON,SRX2831479,DRIP,DRIP_S2_Azorin_S9.6_SRX2831479,NA,NA,NA,NA,NA,NA,NA,NA,-5000,5000,-100,-72.9523103640854,2699.93704468793,0.109819556616971,2.12074520548676,unbiased,2.699837725867246,       1.000, 2345651.000,      -3.531,       9.110,NA,NA,NA,NA,       0.000,    2863.000,      -0.020,       0.014,       0.000,   50209.000,      -0.319,       0.247,      14.000, 1053735.000,       1.431,      -6.970,      60.000,13433818.000,      -0.141,       1.455,       2.000, 5128805.000,      -3.659,      19.837,NA,NA,NA,NA,NA,NA,NA,NA,       0.000,  669117.000,      -2.109,       3.305,NA,NA,NA,NA,NA,NA,NA,NA,       0.000, 1471743.000,      -3.058,       7.290,     117.000,15124699.000,       0.651,     -14.192,     168.000,38477824.000,      -0.174,       3.372,      98.000,20063175.000,      -0.012,       0.713,     100.000,18995503.000,       0.096,      -1.377,      12.000, 1484391.000,       0.715,      -2.693,NA,NA,NA,NA,NA,NA,NA,NA,      57.000, 2948090.000,       1.973,     -39.493,       8.000,  299365.000,       2.439,      -8.823,       6.000,11987603.000,      -3.299,      43.297,      29.000, 2156582.000,       1.449,     -13.172,NA,NA,NA,NA,       0.000,   44845.000,      -0.288,       0.221,       0.000,  620794.000,      -2.026,       3.065,       0.000,   18588.000,      -0.126,       0.092,       0.000,   23677.000,      -0.159,       0.117,       0.000,      52.000,       0.000,       0.000,       0.000,    3400.000,      -0.024,       0.017, 412.0, 183.0, 674.0, 206.0,  62.1,  53.0,1086.0, 389.0,23382438,23283396,99.6,0.456812,50,12474923,53.578623152739404,1317344,5.657868809171996
ERR2224138,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,ERX2277510_E-MTAB-6318DRIP_mOHT,85,ERX2277510,Legube,HS,U2OS,AsiSI-ER,DMSO,S9.6,0,None,RES,ERX2277510,DRIP,DRIP_U2OS_Legube_S9.6_ERX2277510,-0.0774338897573192,1,0.673449410027309,0.604485722206236,0.256741310699346,-1.24443017685697,3.77722650286622,unbiased,-5000,5000,50,39.266744652442,1811.23900029948,0.00075605197069117,2.68540711910668,unbiased,2.699837725867246,      983.000, 26841343.000,        1.665,     -471.918,       45.000,  4071366.000,       -0.063,        0.864,        1.000,   108000.000,       -0.319,        0.438,        3.000,    97618.000,        1.412,       -2.252,      166.000,  7048425.000,        1.028,      -36.612,     1079.000, 32449384.000,        1.526,     -447.919,     4871.000,633867851.000,       -0.588,      571.775,        3.000,   262616.000,       -0.016,        0.446,     5489.000,380015135.000,        0.323,     -150.968,        2.000,   362795.000,       -1.067,        1.553,        1.000,    91810.000,       -0.084,        0.337,       28.000,  2120784.000,        0.193,       -1.330,      844.000, 99457841.000,       -0.444,       48.826,     1513.000, 37147735.000,        1.818,     -844.085,    12658.000,656374925.000,        0.740,    -1906.251,     2752.000,782165617.000,       -1.715,     3701.344,     1879.000, 35999178.000,        2.176,    -1406.350,      148.000,  2602491.000,        2.300,     -121.387,        0.000,      357.000,       -0.006,        0.004,        0.000,   121738.000,       -1.267,        1.406,      537.000,  9058777.000,        2.360,     -452.488,      103.000,  5489462.000,        0.700,      -12.727,     2054.000,262467226.000,       -0.561,      195.858,      456.000, 35205565.000,        0.166,       -4.813,        4.000,   314555.000,        0.139,       -0.710,        2.000,   714827.000,       -2.045,        4.487,       78.000, 76524075.000,       -3.502,      628.613,        4.000,   233019.000,        0.572,       -1.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1489.0,23180.0,17005.0,12541.0,   91.9,   35.1,18494.0,35721.0,131697197,130258704,98.9,0.432741,85,105996190,81.37359481175247,56302386,43.2235115743206
ERR2224139,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,ERX2277511_E-MTAB-6318DRIP_pOHT,85,ERX2277511,Legube,HS,U2OS,AsiSI-ER,4-OHT,S9.6,0,None,RES,ERX2277511,DRIP,DRIP_U2OS_Legube_S9.6_ERX2277511,-0.0581618824497435,1,0.674000140441432,0.59668282475143,0.247384515035084,-1.24415474390788,3.76443889863319,unbiased,-5000,5000,50,69.4546728707965,1952.86719689854,0.0301051272576485,2.5211208383663,unbiased,2.699837725867246,      773.000, 26841133.000,        1.669,     -373.160,       20.000,  4069861.000,       -0.882,        6.336,        2.000,   108000.000,        1.032,       -1.362,        4.000,    97618.000,        2.177,       -4.367,      143.000,  7049054.000,        1.163,      -39.076,      837.000, 32443557.000,        1.510,     -342.101,     3957.000,633748545.000,       -0.537,      384.995,        7.000,   262616.000,        1.557,       -4.502,     4866.000,379971134.000,        0.499,     -306.744,        2.000,   362795.000,       -0.717,        1.016,        1.000,    91810.000,        0.266,       -0.571,       26.000,  2115735.000,        0.440,       -2.541,      646.000, 99441712.000,       -0.480,       44.126,     1106.000, 37135816.000,        1.717,     -561.614,     9313.000,656259727.000,        0.648,    -1088.086,     2379.000,781901102.000,       -1.574,     2605.983,     1271.000, 35994774.000,        1.963,     -804.707,      108.000,  2602455.000,        2.196,      -83.089,        0.000,      357.000,       -0.005,        0.003,        3.000,   121738.000,        1.444,       -2.301,      329.000,  9036195.000,        2.007,     -215.152,      131.000,  5487891.000,        1.398,      -48.647,     1602.000,262429881.000,       -0.569,      158.093,      404.000, 35181363.000,        0.342,      -13.054,        3.000,   314391.000,        0.075,       -0.613,        5.000,   714618.000,       -0.373,        0.987,       58.000, 76182144.000,       -3.573,      498.603,        4.000,   233019.000,        0.922,       -1.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  655.0,22883.0, 6645.0, 5131.0,   91.0,   18.3, 7300.0,28014.0,107506372,106296035,98.9,0.424232,84,87232693,82.06580141959199,29629814,27.874806430926608
SRR7820745,DRIP,SRR7820751,TRUE,hg38,FALSE,DNA,S9.6,SRX4671917_S96_DRIP_RNase_H_R2,149.39,SRX4671917,Ruzov,HS,iPSCs,WT,NT,RNH,2,Input,SON,SRX4671917,DRIP,DRIP_iPSCs_Ruzov_RNH_SRX4671917,-0.102743294163251,0.341703601502731,-0.0411706521662159,-0.00986965752262287,0.0834815710008327,1.58572134269764,5.81355624970595,unbiased,-5000,5000,-500,-144.526753968737,2784.71852831486,0.115669556452494,1.9257078321715,unbiased,0.9145078908564787,        2.000, 26833139.000,       -2.576,        7.529,        0.000,  4068343.000,       -1.491,        1.809,        0.000,   108000.000,       -0.068,        0.048,        0.000,    97618.000,       -0.061,        0.043,        0.000,  7047900.000,       -2.049,        3.135,        9.000, 32423508.000,       -0.679,        2.404,      215.000,633856139.000,       -0.390,       12.870,        0.000,   262620.000,       -0.159,        0.117,       24.000,379893182.000,       -2.814,      108.724,        0.000,   362795.000,       -0.216,        0.161,        0.000,    91970.000,       -0.058,        0.041,        0.000,  2125592.000,       -0.960,        0.945,        0.000, 99454730.000,       -5.544,       44.918,        4.000, 37120946.000,       -2.044,        8.262,       89.000,656154723.000,       -1.712,      117.654,      271.000,782235805.000,       -0.359,       14.271,        8.000, 35972782.000,       -0.999,        3.834,        0.000,  2601483.000,       -1.109,        1.156,        0.000,      357.000,        0.000,        0.000,        0.000,   121766.000,       -0.076,        0.054,        1.000,  9056371.000,       -2.009,        2.413,       23.000,  5493029.000,        3.236,      -33.566,       19.000,262437529.000,       -2.618,       69.059,      662.000, 35231138.000,        5.402,    -2022.771,        0.000,   314599.000,       -0.189,        0.140,        0.000,   714667.000,       -0.398,        0.318,       47.000, 76280761.000,        0.472,       -4.033,        0.000,   232938.000,       -0.142,        0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3877.0,2223.0,1364.0,1178.0,  26.0,  34.6,5241.0,3401.0,89788100,80780326,90,147,147,76389153,94.564056352038,5712079,7.071126452250268
SRR7820746,DRIP,SRR7820751,TRUE,hg38,FALSE,DNA,S9.6,SRX4671916_S96_DRIP_RNase_H_R1,149.09,SRX4671916,Ruzov,HS,iPSCs,WT,NT,RNH,1,Input,SON,SRX4671916,DRIP,DRIP_iPSCs_Ruzov_RNH_SRX4671916,-0.0707701630810968,0.294403372741314,-0.00200875878192279,0.0250102645404663,0.0754870943078235,1.28115333206434,3.91141200614854,unbiased,-5000,5000,400,136.429050593326,2886.64272974222,-0.0939012639409407,1.88512649352215,unbiased,1.4210841249144168,        3.000, 26833342.000,       -2.460,        9.752,        1.000,  4069326.000,       -1.324,        1.251,        0.000,   108000.000,       -0.093,        0.066,        0.000,    97618.000,       -0.084,        0.060,        0.000,  7049832.000,       -2.419,        4.342,        8.000, 32432574.000,       -1.319,        6.183,      569.000,634026020.000,        0.545,      -49.908,        0.000,   262620.000,       -0.216,        0.162,       39.000,379979944.000,       -2.584,      138.469,        0.000,   362795.000,       -0.291,        0.223,        0.000,    92189.000,       -0.080,        0.057,        0.000,  2130405.000,       -1.209,        1.311,        1.000, 99466875.000,       -5.935,       58.040,        9.000, 37124501.000,       -1.344,        7.076,      113.000,656188800.000,       -1.837,      176.343,      309.000,782595584.000,       -0.640,       48.357,        9.000, 35982951.000,       -1.299,        6.632,        1.000,  2601483.000,       -0.679,        0.645,        0.000,      357.000,        0.000,        0.000,        0.000,   121866.000,       -0.104,        0.075,        1.000,  9066997.000,       -2.480,        3.700,       57.000,  5495528.000,        4.075,     -111.030,       17.000,262538206.000,       -3.248,      114.324,      722.000, 35241045.000,        5.057,    -1985.065,        0.000,   314960.000,       -0.256,        0.194,        0.000,   714667.000,       -0.526,        0.440,       44.000, 76290259.000,       -0.093,        1.002,        0.000,   232938.000,       -0.193,        0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6374.0,1577.0,1888.0,1690.0,  22.9,  51.7,8262.0,3267.0,64807002,58419860,90.1,147,147,54835466,93.86442555665145,2812391,4.814100889663207
SRR7820747,DRIP,SRR7820751,TRUE,hg38,FALSE,DNA,S9.6,SRX4671915_S96_DRIP_R2,149.28,SRX4671915,Ruzov,HS,iPSCs,WT,NT,S9.6,2,Input,SON,SRX4671915,DRIP,DRIP_iPSCs_Ruzov_S9.6_SRX4671915,-0.176638217181722,1,-0.0703605383245258,-0.0435046238374724,0.110042012580902,5.50527857820544,51.8535586442696,unbiased,-5000,5000,-350,127.503560387648,3530.11214697391,-0.130204663367754,1.37555436311792,unbiased,-0,        0.000, 17444409.000,       -0.994,        0.988,        0.000,  2717704.000,       -0.206,        0.153,        0.000,    74174.000,       -0.006,        0.004,        0.000,    70141.000,       -0.006,        0.004,        0.000,  4868445.000,       -0.351,        0.275,        0.000, 21276034.000,       -1.146,        1.206,        0.000,424841642.000,       -4.958,       26.789,        0.000,   172452.000,       -0.014,        0.010,        2.000,255263404.000,       -2.848,       10.341,        0.000,   263325.000,       -0.021,        0.015,        0.000,    56508.000,       -0.005,        0.003,        0.000,  1346416.000,       -0.106,        0.076,        0.000, 68998465.000,       -2.329,        3.958,        0.000, 24183288.000,       -1.251,        1.372,        0.000,459009984.000,       -5.095,       29.233,       37.000,524138558.000,        0.324,       -2.620,        0.000, 23455751.000,       -1.225,        1.331,        0.000,  1714571.000,       -0.133,        0.097,        0.000,      256.000,        0.000,        0.000,        0.000,    80493.000,       -0.007,        0.005,        0.000,  5924917.000,       -0.417,        0.335,        0.000,  3770350.000,       -0.279,        0.213,        0.000,180130756.000,       -3.599,       10.626,       55.000, 24254705.000,        5.329,     -166.956,        0.000,   212787.000,       -0.017,        0.012,        0.000,   497563.000,       -0.040,        0.028,       24.000, 45718525.000,        3.218,      -36.548,        0.000,   161460.000,       -0.013,        0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  40.0, 961.0, 117.0,  82.0,  74.5,   7.9, 157.0,1043.0,79614278,74412700,93.5,148,148,73378148,98.60971043921266,27292561,36.67728895739572
SRR7820749,DRIP,SRR7820751,TRUE,hg38,FALSE,DNA,S9.6,SRX4671914_S96_DRIP_R1,149.46,SRX4671914,Ruzov,HS,iPSCs,WT,NT,S9.6,1,Input,SON,SRX4671914,DRIP,DRIP_iPSCs_Ruzov_S9.6_SRX4671914,-0.143446987741897,1,-0.066873231574177,-0.0388537333130624,0.105552712960773,6.19984582082211,60.0824792947751,unbiased,-5000,5000,-2150,-903.539580440027,3317.10557299466,0.539415324776954,1.68695492785697,unbiased,-0,        0.000, 15799068.000,       -1.044,        1.057,        0.000,  2386533.000,       -0.213,        0.159,        0.000,    65181.000,       -0.006,        0.004,        0.000,    53136.000,       -0.005,        0.004,        0.000,  4160789.000,       -0.354,        0.278,        1.000, 18708187.000,       -0.318,        0.438,        0.000,368462747.000,       -4.991,       27.437,        0.000,   152616.000,       -0.015,        0.010,        2.000,226298090.000,       -2.914,       10.995,        0.000,   235716.000,       -0.022,        0.016,        0.000,    48221.000,       -0.005,        0.003,        0.000,  1108645.000,       -0.103,        0.074,        0.000, 60726533.000,       -2.375,        4.115,        0.000, 21661361.000,       -1.299,        1.452,        1.000,398228855.000,       -4.730,       26.396,       36.000,448509951.000,        0.269,       -2.126,        0.000, 20635460.000,       -1.257,        1.383,        0.000,  1527201.000,       -0.140,        0.102,        0.000,      304.000,        0.000,        0.000,        0.000,    72262.000,       -0.007,        0.005,        0.000,  5115501.000,       -0.424,        0.341,        0.000,  3292495.000,       -0.287,        0.220,        0.000,157634425.000,       -3.644,       10.986,       56.000, 21326531.000,        5.301,     -168.735,        0.000,   193397.000,       -0.018,        0.013,        0.000,   429889.000,       -0.041,        0.029,       25.000, 38195581.000,        3.296,      -39.277,        0.000,   152206.000,       -0.015,        0.010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  62.0,1032.0, 120.0,  80.0,  65.9,   7.2, 182.0,1112.0,72691406,67796472,93.3,148,148,66860329,98.6191862609016,27839937,41.06399076341318
SRR9667007,qDRIP,SRR9667010,TRUE,hg38,TRUE,DNA,S9.6,SRX6427713_siGL3_qDRIP-seq_1,151,GSM3936507,Cimprich,HS,HeLa,WT,siGL3,S9.6,1,Input,SON,SRX6427713,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX6427713,-0.0709152232428123,1,0.493627759408436,0.460556886953603,0.250701532348667,-0.274686871804882,2.81953344869989,unbiased,-5000,5000,50,132.261155020622,1779.77705098776,0.106772870346355,3.06957462163432,unbiased,2.699837725867246,     2785.000, 27085278.000,        2.169,    -2059.216,       83.000,  4120310.000,       -0.183,        2.014,        2.000,   108625.000,       -0.313,        0.602,        9.000,    99042.000,        1.990,       -7.459,      278.000,  7166300.000,        0.762,      -35.747,     2565.000, 33109062.000,        1.760,    -1349.771,    12601.000,637494025.000,       -0.210,      178.474,        7.000,   265400.000,        0.206,       -0.904,     7040.000,383068435.000,       -0.315,      208.401,        5.000,   364777.000,       -0.738,        1.821,        6.000,    95628.000,        1.456,       -3.718,       71.000,  2224261.000,        0.481,       -5.435,     2283.000, 99999051.000,       -0.002,        0.747,     3424.000, 37731603.000,        1.989,    -2210.160,    31151.000,661286379.000,        1.043,    -9037.208,     2183.000,785273244.000,       -3.040,    13315.266,     1499.000, 36747352.000,        0.835,     -215.735,      180.000,  2630649.000,        1.581,      -80.650,        0.000,      357.000,       -0.012,        0.008,        9.000,   123260.000,        1.675,       -5.975,      714.000,  9134247.000,        1.773,     -378.130,      132.000,  5528705.000,        0.062,       -1.134,     3086.000,264184805.000,       -0.969,      952.637,      914.000, 35362230.000,        0.177,       -8.894,        8.000,   317831.000,        0.138,       -0.818,        8.000,   716365.000,       -1.034,        4.028,       88.000, 76073243.000,       -4.305,     1411.637,        5.000,   233648.000,       -0.096,        0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  604.0,22178.0,71161.0,21140.0,   99.2,   48.8,71765.0,43318.0,60403716,53344108,88.3,150,150,50466332,94.60525987237428,3160103,5.923996329641504
SRR9667008,qDRIP,SRR9667010,TRUE,hg38,TRUE,DNA,S9.6,SRX6427714_siGL3_qDRIP-seq_2,151,GSM3936508,Cimprich,HS,HeLa,WT,siGL3,S9.6,2,Input,SON,SRX6427714,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX6427714,-0.0165697961411954,1,0.476841430475747,0.43978506199558,0.188673795309241,-0.699396544736179,3.69245872051392,unbiased,-5000,5000,100,193.106148539625,1945.05079562403,0.123718030098309,2.73103068322711,unbiased,2.699837725867246,     1431.000, 26982095.000,        2.138,    -1035.478,       34.000,  4085658.000,       -0.534,        4.268,        2.000,   108000.000,        0.620,       -0.984,        4.000,    97618.000,        1.766,       -3.450,      132.000,  7092328.000,        0.627,      -13.223,     1196.000, 32735403.000,        1.600,     -537.757,     8720.000,636867120.000,        0.184,      -90.045,        6.000,   265332.000,        0.908,       -2.252,     3239.000,382461912.000,       -0.509,      259.528,        3.000,   364094.000,       -0.549,        1.017,        1.000,    92502.000,       -0.157,        0.366,       23.000,  2246774.000,       -0.235,        1.382,      934.000, 99939665.000,       -0.367,       36.806,     1314.000, 37349076.000,        1.546,     -558.077,    14613.000,660721930.000,        0.876,    -3039.940,     1772.000,784833101.000,       -2.416,     5693.012,      622.000, 36269837.000,        0.509,      -37.923,       78.000,  2611273.000,        1.309,      -26.892,        0.000,      357.000,       -0.006,        0.004,        1.000,   122676.000,       -0.564,        0.571,      282.000,  9136457.000,        1.357,      -96.955,      239.000,  5524452.000,        1.844,     -136.769,     1492.000,263764990.000,       -1.091,      603.069,     1199.000, 35407960.000,        1.490,     -478.543,        0.000,   316706.000,       -2.268,        3.817,        6.000,   716284.000,       -0.525,        1.418,      103.000, 76633748.000,       -3.165,      606.899,        3.000,   233376.000,        0.093,       -0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  857.0,36807.0,37464.0,14171.0,   97.8,   27.8,38321.0,50978.0,62367320,55265618,88.6,149,149,51542273,93.26281848508417,3561670,6.444639775854855
SRR9667009,qDRIP,SRR9667010,TRUE,hg38,TRUE,DNA,S9.6,SRX6427715_siGL3_qDRIP-seq_andRH,151,GSM3936509,Cimprich,HS,HeLa,WT,siGL3,RNH,0,Input,SON,SRX6427715,DRIP,qDRIP_HeLa_Cimprich_RNH_SRX6427715,-0.0576376223341987,0.761204121341006,0.48752870690173,0.445293966712401,0.184875587920769,-0.860209857313705,3.2133482218065,unbiased,-5000,5000,50,91.8774785344804,1338.698849343,0.23614682291017,4.28814899306947,unbiased,2.699837725867246,     2000.000, 27343052.000,        1.116,     -479.343,      262.000,  4177270.000,        0.894,      -44.350,        2.000,   109543.000,       -0.886,        1.252,        4.000,   101726.000,        0.220,       -0.801,      330.000,  7320077.000,        0.418,      -15.085,     2593.000, 33897629.000,        1.180,     -687.018,    28949.000,642127126.000,        0.418,    -1432.098,        4.000,   269399.000,       -1.185,        2.958,     5846.000,387180280.000,       -1.161,     2797.725,        1.000,   364690.000,       -3.622,        9.721,        0.000,   101493.000,       -2.146,        3.426,       80.000,  2347767.000,        0.014,       -0.732,      811.000,100649767.000,       -2.067,     1460.722,     3376.000, 38460141.000,        1.379,    -1174.124,    30714.000,665471288.000,        0.451,    -1785.495,    10968.000,792445335.000,       -1.286,     7482.267,     3211.000, 37631727.000,        1.338,    -1059.771,      345.000,  2678552.000,        1.932,     -211.289,        0.000,      357.000,       -0.017,        0.012,        6.000,   125611.000,        0.501,       -1.373,     1456.000,  9394932.000,        2.199,    -1090.879,     2579.000,  5597141.000,        3.771,    -4383.067,     5435.000,266619344.000,       -0.727,      892.306,     6794.000, 35775715.000,        2.492,    -6306.906,        3.000,   321640.000,       -1.855,        5.207,        3.000,   718437.000,       -3.015,       16.351,      183.000, 76944881.000,       -3.827,     1959.988,       22.000,   235091.000,        1.471,      -10.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1487.0, 98808.0,105981.0, 95180.0,    98.6,    49.1,107468.0,193988.0,49992794,45737266,91.5,149,149,41727517,91.23308113781877,5988845,13.09401615741527
