#'chr'	'start'	'end'	'SRX1070676_NT2_DRIPc-seq_rep_1.hg38.bw'	'SRX1070677_NT2_DRIPc-seq_rep_2.hg38.bw'	'SRX1070678_NT2_DRIP-seq_1.hg38.bw'	'SRX1070679_NT2_DRIP-seq_2.hg38.bw'	'SRX1070680_NT2_DRIP-seq_RNaseA.hg38.bw'	'SRX1070681_NT2_DRIP-seq_RNaseH.hg38.bw'	'SRX255721_NT2_DRIP-seq_1.hg38.bw'	'SRX255723_NT2_DRIP-seq_2_rep_1.hg38.bw'	'SRX255724_NT2_DRIP-seq_2_rep_2.hg38.bw'
chr19	44878000	44879000	0.91	0.6	3.48	2.9	3.11	0.65	0.6	0.49	0.15
chr19	44879000	44880000	0.4	0.48	6.1	3.43	8.0	0.6	0.49	0.95	0.21
chr19	44880000	44881000	0.18	0.0	0.92	0.56	0.56	0.26	0.26	0.3	0.0
chr19	44881000	44882000	0.35	0.22	2.2	0.65	3.38	0.69	0.76	0.21	0.21
chr19	44882000	44883000	0.36	0.17	1.51	1.25	3.37	0.3	0.44	0.21	0.37
chr19	44883000	44884000	0.18	0.12	2.26	0.84	7.55	1.01	0.61	0.34	0.28
chr19	44884000	44885000	0.24	0.06	2.52	1.18	4.61	0.38	0.82	0.46	0.43
chr19	44885000	44886000	0.06	0.24	1.89	0.85	3.22	0.54	0.35	0.36	0.16
chr19	44886000	44887000	0.45	0.43	4.1	2.92	9.04	1.62	0.99	1.13	0.67
chr19	44887000	44888000	0.4	0.51	3.46	2.64	11.06	1.03	0.77	0.88	0.5
chr19	44888000	44889000	0.21	0.14	6.08	1.34	9.98	0.73	0.77	0.52	0.54
chr19	44889000	44890000	0.18	0.0	8.64	1.68	19.84	1.21	1.11	0.73	0.56
chr19	44890000	44891000	0.4	0.65	19.28	5.67	21.12	0.87	2.31	0.99	0.81
chr19	44891000	44892000	0.28	0.2	15.26	5.28	16.82	0.99	3.33	1.33	0.83
chr19	44892000	44893000	2.37	2.06	25.4	10.51	38.57	1.49	5.53	2.13	0.93
chr19	44893000	44894000	0.4	1.12	22.68	6.79	37.32	1.22	4.66	0.9	0.55
chr19	44894000	44895000	1.04	0.88	16.83	4.15	33.71	1.04	3.06	0.56	0.33
chr19	44895000	44896000	0.84	0.84	14.83	7.11	24.81	0.95	2.5	1.47	0.94
chr19	44896000	44897000	0.12	0.11	3.04	8.13	1.95	0.22	0.78	1.2	1.21
chr19	44897000	44898000	0.06	0.06	3.44	2.36	2.33	0.44	0.66	0.27	0.3
chr19	44898000	44899000	0.06	0.18	3.21	0.54	2.75	0.36	0.81	0.17	0.06
chr19	44899000	44900000	0.0	0.0	3.58	1.01	2.15	0.8	0.42	0.45	0.14
chr19	44900000	44901000	0.8	0.4	15.46	9.69	11.32	0.6	1.49	2.02	1.09
chr19	44901000	44902000	0.99	0.43	18.32	17.28	29.88	0.22	1.92	1.51	0.83
chr19	44902000	44903000	0.9	0.72	24.35	19.65	26.78	0.15	1.87	4.24	2.05
chr19	44903000	44904000	3.64	2.02	18.97	16.17	36.73	0.37	2.76	1.7	1.32
chr19	44904000	44905000	4.32	2.75	46.32	14.9	59.13	0.94	6.81	1.13	0.71
chr19	44905000	44906000	2.18	1.82	30.68	3.91	43.45	0.53	3.71	0.83	0.33
chr19	44906000	44907000	0.95	0.76	4.81	1.87	21.46	0.89	3.23	3.23	1.5
chr19	44907000	44908000	0.44	0.39	4.74	1.15	26.86	1.31	3.44	2.38	1.07
chr19	44908000	44909000	0.56	0.26	4.19	0.91	13.12	0.98	1.82	4.4	1.93
chr19	44909000	44910000	0.77	0.54	4.21	0.69	18.98	0.53	2.21	3.17	1.58
chr19	44910000	44911000	0.5	0.22	2.89	1.01	7.3	0.96	0.66	0.57	0.47
chr19	44911000	44912000	0.72	0.88	1.64	1.52	3.74	0.23	0.48	0.55	0.2
chr19	44912000	44913000	0.18	0.17	2.84	0.88	10.59	1.0	0.65	0.2	0.25
chr19	44913000	44914000	0.23	0.23	2.59	0.76	9.88	1.26	0.43	0.31	0.2
chr19	44914000	44915000	0.34	0.12	2.52	0.82	11.51	1.35	0.51	0.51	0.43
chr19	44915000	44916000	0.06	0.06	3.03	0.34	10.61	0.76	0.77	0.67	0.29
chr19	44916000	44917000	0.22	0.15	2.8	0.54	12.51	0.65	0.84	0.33	0.46
chr19	44917000	44918000	0.11	0.09	1.08	0.89	1.39	0.33	0.27	0.5	0.19
chr19	44918000	44919000	0.0	0.0	1.01	0.47	3.14	0.64	0.24	0.15	0.33
chr19	44919000	44920000	0.23	0.12	1.48	0.76	4.48	1.0	0.33	0.15	0.15
chr19	44920000	44921000	0.0	0.0	0.56	0.19	3.15	0.54	0.16	0.16	0.19
chr19	44921000	44922000	0.0	0.0	0.09	0.1	0.77	0.2	0.05	0.05	0.0
chr19	44922000	44923000	0.0	0.12	0.73	0.29	3.11	0.33	0.26	0.62	0.38
chr19	44923000	44924000	0.0	0.06	0.66	0.28	4.07	0.33	0.15	0.5	0.24
chr19	44924000	44925000	0.06	0.18	0.95	0.37	2.13	0.44	0.31	0.35	0.15
chr19	44925000	44926000	0.12	0.12	1.39	0.58	3.47	0.65	0.51	0.15	0.11
chr19	44926000	44927000	0.06	0.0	1.75	0.78	3.84	0.75	0.4	0.39	0.31
chr19	44927000	44928000	0.06	0.06	1.82	0.44	5.25	0.99	0.42	0.31	0.28
chr19	44928000	44929000	0.0	0.0	0.92	0.63	1.72	0.7	0.15	0.22	0.14
chr19	44929000	44930000	0.0	0.0	1.05	0.29	1.32	0.51	0.15	0.51	0.26
chr19	44930000	44931000	0.12	0.12	0.55	0.06	1.22	0.52	0.21	0.15	0.11
chr19	44931000	44932000	0.0	0.06	0.62	0.24	1.82	0.53	0.15	0.36	0.15
chr19	44932000	44933000	0.12	0.0	0.7	0.3	1.54	0.66	0.45	0.38	0.32
chr19	44933000	44934000	0.06	0.06	0.36	0.24	0.47	0.11	0.22	0.2	0.27
chr19	44934000	44935000	0.0	0.0	0.45	0.16	0.49	0.77	0.37	0.41	0.1
chr19	44935000	44936000	0.06	0.12	0.83	0.75	1.37	0.68	0.35	0.42	0.2
chr19	44936000	44937000	0.13	0.0	0.39	0.09	0.52	0.29	0.34	0.18	0.14
chr19	44937000	44938000	0.04	0.0	0.41	0.09	1.06	0.88	0.28	0.22	0.27
chr19	44938000	44939000	0.0	0.0	0.4	0.0	0.43	0.22	0.28	0.0	0.15
chr19	44939000	44940000	0.12	0.0	0.19	0.36	0.12	0.55	0.2	0.31	0.26
chr19	44940000	44941000	0.06	0.06	0.28	0.17	0.49	0.36	0.17	0.31	0.15
chr19	44941000	44942000	0.0	0.12	0.55	0.0	0.86	0.19	0.13	0.23	0.15
chr19	44942000	44943000	0.0	0.06	0.69	0.24	0.95	0.0	0.41	0.1	0.2
chr19	44943000	44944000	0.0	0.11	0.88	0.12	3.22	0.65	0.43	0.33	0.09
chr19	44944000	44945000	0.18	0.01	1.28	0.24	3.13	0.44	0.43	0.38	0.59
chr19	44945000	44946000	0.05	0.06	0.94	0.22	3.04	0.5	0.66	0.45	0.37
chr19	44946000	44947000	0.12	0.06	0.59	0.36	0.8	0.49	0.31	0.4	0.19
chr19	44947000	44948000	0.17	0.05	0.37	1.0	0.86	0.32	0.21	0.21	0.15
chr19	44948000	44949000	0.17	0.25	3.68	2.0	7.18	0.33	0.42	1.34	0.62
chr19	44949000	44950000	0.25	0.79	4.64	1.84	7.04	0.76	0.8	0.52	0.58
chr19	44950000	44951000	0.46	0.74	6.46	0.71	10.02	0.44	0.9	0.29	0.22
chr19	44951000	44952000	0.29	0.44	6.66	2.19	9.28	0.74	0.92	0.47	0.36
chr19	44952000	44953000	0.18	0.06	2.17	2.39	1.65	0.84	0.12	0.37	0.42
chr19	44953000	44953878	0.0	0.1252847380410023	0.510250569476082	1.2915717539863325	0.5011389521640092	0.35079726651480636	0.27107061503416857	0.6378132118451025	0.6810933940774487
chr19	46559226	46560000	0.15503875968992248	0.15503875968992248	0.5426356589147286	0.0	0.19896640826873385	0.4444444444444444	0.12919896640826872	0.2713178294573643	0.25839793281653745
chr19	46560000	46561000	0.11	0.0	0.28	0.24	0.22	0.44	0.05	0.08	0.05
chr19	46561000	46562000	0.01	0.06	0.23	0.0	0.0	0.14	0.1	0.33	0.15
chr19	46562000	46563000	0.0	0.0	0.18	0.18	0.43	0.52	0.05	0.27	0.35
chr19	46563000	46564000	0.06	0.0	0.48	0.23	0.38	0.04	0.6	1.51	1.34
chr19	46564000	46565000	0.06	0.18	0.97	0.36	0.27	0.29	0.35	0.19	0.25
chr19	46565000	46566000	0.0	0.06	0.72	0.72	0.87	0.11	0.32	0.26	0.1
chr19	46566000	46567000	0.12	0.11	0.69	0.24	0.17	0.0	0.16	0.19	0.25
chr19	46567000	46568000	0.0	0.13	0.3	0.0	0.49	0.43	0.21	0.3	0.41
chr19	46568000	46569000	0.06	0.02	0.48	0.47	0.11	0.55	0.11	0.24	0.32
chr19	46569000	46570000	0.0	0.04	0.24	0.11	0.22	0.44	0.4	0.42	0.19
chr19	46570000	46571000	0.0	0.0	0.24	0.06	0.76	0.33	0.05	0.19	0.17
chr19	46571000	46572000	0.0	0.12	0.53	0.18	0.99	0.22	0.25	0.36	0.1
chr19	46572000	46573000	0.05	0.1	0.41	0.22	0.64	0.43	0.19	0.44	0.6
chr19	46573000	46574000	0.06	0.02	0.79	0.25	1.01	0.63	0.35	0.2	0.37
chr19	46574000	46575000	0.05	0.05	0.69	0.12	0.79	0.7	0.57	0.34	0.25
chr19	46575000	46576000	0.12	0.06	0.96	0.57	0.4	0.3	0.46	0.25	0.25
chr19	46576000	46577000	0.17	0.0	0.75	0.26	0.99	0.4	0.11	0.16	0.36
chr19	46577000	46578000	0.06	0.0	0.65	0.22	0.21	0.7	0.17	0.2	0.07
chr19	46578000	46579000	0.0	0.0	0.0	0.12	0.22	0.11	0.19	0.16	0.3
chr19	46579000	46580000	0.0	0.0	0.29	0.3	0.04	0.33	0.1	0.11	0.21
chr19	46580000	46581000	0.06	0.0	0.41	0.17	0.62	0.55	0.3	0.4	0.25
chr19	46581000	46582000	0.0	0.03	0.35	0.0	0.33	0.33	0.32	0.26	0.13
chr19	46582000	46583000	0.06	0.03	0.41	0.36	0.78	0.43	0.31	0.1	0.02
chr19	46583000	46584000	0.0	0.0	0.35	0.35	0.62	0.44	0.25	0.21	0.29
chr19	46584000	46585000	0.06	0.0	0.42	0.13	0.43	0.21	0.05	0.16	0.2
chr19	46585000	46586000	0.12	0.0	0.24	0.12	0.33	0.56	0.25	0.25	0.23
chr19	46586000	46587000	0.06	0.0	0.23	0.23	0.37	0.28	0.15	0.17	0.1
chr19	46587000	46588000	0.0	0.06	0.47	0.12	0.4	0.25	0.22	0.26	0.07
chr19	46588000	46589000	0.0	0.0	0.18	0.34	0.51	0.39	0.14	0.21	0.19
chr19	46589000	46590000	0.06	0.12	0.59	0.26	0.27	0.0	0.16	0.2	0.16
chr19	46590000	46591000	0.06	0.0	0.36	0.11	0.54	0.21	0.25	0.25	0.1
chr19	46591000	46592000	0.06	0.17	0.35	0.18	0.12	0.6	0.15	0.1	0.2
chr19	46592000	46593000	0.15	0.0	0.44	0.41	0.56	0.04	0.15	0.21	0.27
chr19	46593000	46594000	0.03	0.0	0.32	0.3	0.51	0.55	0.16	0.13	0.17
chr19	46594000	46595000	0.0	0.11	0.3	0.3	0.44	0.7	0.04	0.21	0.21
chr19	46595000	46596000	0.06	0.11	0.49	0.12	0.2	0.54	0.28	0.53	0.27
chr19	46596000	46597000	0.18	0.0	0.93	0.22	0.59	0.62	0.23	0.21	0.21
chr19	46597000	46598000	0.12	0.06	0.36	0.56	0.83	0.17	0.17	0.32	0.27
chr19	46598000	46599000	0.7	0.36	1.38	0.6	0.77	0.37	0.38	0.27	0.22
chr19	46599000	46600000	1.12	0.59	1.49	0.23	0.44	0.33	0.35	0.19	0.16
chr19	46600000	46601000	0.17	0.4	20.68	0.67	10.07	0.87	2.28	0.46	0.5
chr19	46601000	46602000	1.83	1.3	5.11	3.5	4.04	0.44	1.31	2.47	1.25
chr19	46602000	46603000	1.63	1.42	3.18	6.5	1.97	0.28	0.74	3.71	2.86
chr19	46603000	46604000	1.0	1.01	6.66	8.53	1.91	0.26	0.87	3.39	2.02
chr19	46604000	46605000	0.86	0.84	7.04	3.96	2.01	0.33	0.36	0.8	0.52
chr19	46605000	46606000	2.82	2.68	22.91	6.88	10.43	0.22	2.17	0.57	0.58
chr19	46606000	46607000	5.71	4.13	31.75	6.22	21.59	0.43	2.5	0.55	0.4
chr19	46607000	46608000	3.39	2.49	28.1	8.7	20.44	0.15	2.4	1.31	0.9
chr19	46608000	46609000	7.78	6.14	21.36	22.29	16.9	0.39	1.66	2.67	1.7
chr19	46609000	46610000	16.24	11.86	16.85	25.91	18.49	0.65	1.07	2.03	1.41
chr19	46610000	46611000	11.76	9.12	15.9	17.12	12.34	0.42	1.1	0.94	0.63
chr19	46611000	46612000	4.11	3.4	18.69	14.49	28.22	0.33	1.42	1.42	0.84
chr19	46612000	46613000	1.03	0.82	30.8	15.59	39.13	0.3	1.65	0.84	0.8
chr19	46613000	46614000	0.24	0.71	14.32	0.3	23.1	0.13	0.82	0.16	0.16
chr19	46614000	46615000	0.41	0.54	15.69	0.54	16.51	0.22	1.4	0.36	0.3
chr19	46615000	46616000	0.06	0.18	0.64	0.06	1.16	0.21	0.38	0.2	0.16
chr19	46616000	46617000	0.06	0.06	0.94	0.36	0.86	1.33	0.32	0.25	0.1
chr19	46617000	46618000	0.22	0.23	1.24	0.36	1.53	0.96	0.65	0.15	0.05
chr19	46618000	46619000	0.01	0.06	0.66	0.05	0.74	1.2	0.26	0.16	0.05
chr19	46619000	46620000	0.06	0.12	0.65	0.31	1.49	0.62	0.46	0.13	0.11
chr19	46620000	46621000	0.35	0.06	1.25	0.54	1.04	0.69	0.26	0.28	0.21
chr19	46621000	46622000	0.07	0.0	1.06	0.12	1.29	0.74	0.78	0.3	0.32
chr19	46622000	46623000	0.05	0.06	1.4	0.18	1.52	0.86	0.32	0.48	0.1
chr19	46623000	46624000	0.0	0.06	1.18	0.29	0.92	0.76	0.35	0.37	0.2
chr19	46624000	46625000	0.0	0.0	0.36	0.18	1.47	0.45	0.59	0.16	0.26
chr19	46625000	46626000	0.0	0.12	0.92	0.29	0.93	1.06	0.3	0.25	0.31
chr19	46626000	46627000	0.24	0.06	0.89	0.18	0.27	0.35	0.0	0.21	0.16
chr19	46627000	46628000	0.06	0.0	0.4	0.34	0.59	0.5	0.2	0.05	0.35
chr19	46628000	46629000	0.0	0.06	0.54	0.12	0.59	0.58	0.21	0.1	0.1
chr19	46629000	46630000	0.06	0.06	1.12	0.25	1.48	0.85	0.19	0.21	0.16
chr19	46630000	46631000	0.12	0.06	0.76	0.47	1.51	0.57	0.31	0.31	0.1
chr19	46631000	46632000	0.06	0.0	1.88	0.62	2.0	0.96	0.46	0.44	0.36
chr19	46632000	46633000	0.17	0.12	0.76	0.22	1.39	2.08	0.16	0.1	0.21
chr19	46633000	46634000	0.18	0.18	0.78	0.29	1.54	0.79	0.31	0.23	0.36
chr19	46634000	46635000	0.0	0.0	1.92	0.63	1.21	0.52	0.37	0.37	0.14
chr19	46635000	46636000	0.22	0.12	1.37	0.97	1.12	0.18	0.26	0.24	0.22
chr19	46636000	46637000	0.24	0.12	1.53	0.36	2.42	1.36	0.35	0.48	0.31
chr19	46637000	46638000	0.46	0.23	2.04	0.46	2.28	0.86	0.23	0.53	0.45
chr19	46638000	46639000	0.42	0.4	1.51	0.65	1.01	0.39	0.64	0.86	0.4
chr19	46639000	46640000	0.11	0.0	2.26	1.12	1.57	0.59	0.79	0.55	0.5
chr19	46640000	46641000	0.12	0.12	0.74	0.25	0.51	0.18	0.39	0.41	0.35
chr19	46641000	46642000	0.0	0.0	0.31	0.76	0.44	0.67	0.06	0.04	0.27
chr19	46642000	46643000	0.12	0.0	0.52	0.5	0.53	1.5	0.33	0.1	0.06
chr19	46643000	46644000	0.0	0.06	0.78	0.18	1.85	1.47	0.18	0.1	0.19
chr19	46644000	46645000	0.01	0.0	0.85	0.2	1.26	1.42	0.23	0.11	0.05
chr19	46645000	46646000	0.1	0.0	0.8	0.67	2.07	1.77	0.32	0.21	0.21
chr19	46646000	46647000	0.11	0.0	0.48	0.07	3.11	0.95	0.16	0.05	0.0
chr19	46647000	46648000	0.0	0.06	1.19	0.66	2.17	1.37	0.25	0.26	0.26
chr19	46648000	46649000	0.12	0.06	0.71	1.11	1.44	0.11	0.3	0.38	0.4
chr19	46649000	46650000	0.0	0.06	0.45	0.06	0.52	0.0	0.24	0.25	0.08
chr19	46650000	46651000	0.43	0.06	1.38	0.54	3.64	0.4	0.5	0.32	0.31
chr19	46651000	46652000	0.52	0.36	1.39	0.27	2.98	0.52	0.31	0.29	0.16
chr19	46652000	46653000	0.3	0.12	1.33	0.88	2.2	0.93	0.6	0.12	0.29
chr19	46653000	46654000	0.66	0.12	2.39	0.68	3.29	0.82	0.53	0.45	0.31
chr19	46654000	46655000	0.12	0.23	1.43	0.52	2.68	0.75	0.75	0.23	0.21
chr19	46655000	46656000	0.12	0.11	1.92	0.23	2.23	0.63	0.28	0.33	0.3
chr19	46656000	46657000	0.0	0.12	0.33	0.42	0.21	0.32	0.33	0.18	0.21
chr19	46657000	46658000	0.14	0.11	0.8	0.12	0.0	0.22	0.17	0.05	0.21
chr19	46658000	46659000	0.24	0.12	0.63	0.19	0.47	0.33	0.19	0.2	0.27
chr19	46659000	46659226	0.336283185840708	0.0	1.247787610619469	0.48672566371681414	0.336283185840708	0.48672566371681414	0.3893805309734513	0.07079646017699115	0.13274336283185842
chr19	49058213	49059000	0.22871664548919948	0.35578144853875476	1.5247776365946633	1.6264294790343075	2.9987293519695046	0.5082592121982211	0.9911054637865311	0.7623888182973316	0.45743329097839897
chr19	49059000	49060000	0.54	0.36	1.84	1.41	2.64	1.34	0.37	0.75	0.14
chr19	49060000	49061000	0.23	0.16	0.68	0.75	0.62	0.29	0.36	0.46	0.29
chr19	49061000	49062000	0.36	0.35	1.59	1.83	3.2	0.23	0.37	0.56	0.25
chr19	49062000	49063000	0.31	0.36	3.06	1.31	7.17	0.58	0.62	0.53	0.46
chr19	49063000	49064000	0.02	0.06	2.5	1.02	5.23	0.43	0.45	0.49	0.06
chr19	49064000	49065000	1.24	0.56	4.6	2.29	3.02	0.95	0.75	0.55	0.6
chr19	49065000	49066000	0.4	0.22	4.28	1.53	4.95	0.98	1.09	0.49	0.53
chr19	49066000	49067000	0.24	0.17	6.69	2.14	10.96	0.83	1.39	0.96	0.96
chr19	49067000	49068000	0.05	0.0	1.63	2.58	0.78	0.15	0.41	1.03	0.62
chr19	49068000	49069000	0.12	0.16	1.01	2.77	1.3	0.22	0.37	0.55	0.75
chr19	49069000	49070000	0.35	0.19	1.96	1.08	2.29	0.11	0.31	0.31	0.16
chr19	49070000	49071000	0.06	0.12	2.2	1.1	2.57	0.11	0.31	0.47	0.31
chr19	49071000	49072000	0.18	0.18	1.03	0.71	1.12	0.64	0.52	0.29	0.06
chr19	49072000	49073000	0.12	0.12	0.48	0.41	0.78	0.11	0.15	0.05	0.11
chr19	49073000	49074000	0.24	0.12	1.17	0.37	1.43	0.32	0.59	0.2	0.37
chr19	49074000	49075000	0.12	0.0	0.37	0.27	0.75	0.66	0.1	0.22	0.41
chr19	49075000	49076000	0.0	0.0	0.23	0.23	1.77	0.32	0.1	0.05	0.09
chr19	49076000	49077000	0.0	0.0	0.3	0.18	1.37	0.43	0.21	0.2	0.13
chr19	49077000	49078000	0.05	0.0	0.19	0.0	2.08	0.97	0.42	0.11	0.15
chr19	49078000	49079000	0.12	0.0	0.56	0.24	1.04	0.56	0.25	0.0	0.15
chr19	49079000	49080000	0.06	0.06	0.29	0.23	1.25	0.15	0.09	0.1	0.3
chr19	49080000	49081000	0.06	0.12	0.89	0.24	1.45	0.43	0.2	0.26	0.2
chr19	49081000	49082000	0.12	0.0	0.71	0.17	1.62	0.22	0.3	0.16	0.27
chr19	49082000	49083000	0.18	0.06	3.66	0.54	3.49	0.98	0.61	0.16	0.22
chr19	49083000	49084000	0.11	0.0	2.3	0.28	4.28	1.2	0.37	0.05	0.16
chr19	49084000	49085000	0.42	0.3	4.53	0.69	4.59	1.16	1.09	0.37	0.26
chr19	49085000	49086000	0.16	0.0	6.25	1.4	4.76	1.3	1.36	0.55	0.39
chr19	49086000	49087000	0.34	0.35	5.65	0.45	4.73	1.52	1.06	0.32	0.27
chr19	49087000	49088000	0.06	0.06	6.53	1.25	4.22	2.66	1.12	0.31	0.2
chr19	49088000	49089000	0.12	0.17	2.09	0.1	3.9	1.43	0.31	0.1	0.02
chr19	49089000	49090000	0.15	0.0	4.67	0.34	4.3	1.68	0.99	0.55	0.15
chr19	49090000	49091000	0.12	0.06	6.35	3.11	3.11	1.52	1.25	0.58	0.29
chr19	49091000	49092000	0.24	0.04	1.56	1.71	1.8	0.79	0.32	0.38	0.48
chr19	49092000	49093000	0.06	0.08	1.63	1.1	1.07	0.22	0.3	0.1	0.19
chr19	49093000	49094000	0.0	0.18	2.69	0.92	2.3	0.84	0.31	0.39	0.15
chr19	49094000	49095000	0.0	0.18	4.18	1.28	3.02	0.36	0.57	0.48	0.31
chr19	49095000	49096000	0.49	0.46	1.83	1.45	0.54	0.11	0.3	0.46	0.37
chr19	49096000	49097000	0.17	0.13	1.63	0.52	1.91	0.21	0.4	0.15	0.3
chr19	49097000	49098000	0.53	0.4	8.42	1.96	3.0	0.12	0.68	0.19	0.3
chr19	49098000	49099000	0.43	0.93	10.15	3.9	2.73	0.0	0.45	0.61	0.25
chr19	49099000	49100000	0.39	0.31	2.89	1.78	1.26	0.55	0.31	0.53	0.39
chr19	49100000	49101000	0.59	0.29	6.4	3.02	2.37	0.43	0.58	0.42	0.16
chr19	49101000	49102000	0.17	0.12	11.43	1.98	6.04	0.21	0.76	0.45	0.16
chr19	49102000	49103000	0.63	1.04	10.03	8.53	3.9	0.44	0.73	0.66	0.44
chr19	49103000	49104000	3.62	2.27	15.79	10.1	5.95	0.33	1.6	1.11	0.47
chr19	49104000	49105000	1.78	1.72	22.23	15.34	13.41	0.52	1.78	1.57	0.77
chr19	49105000	49106000	2.0	2.11	20.67	3.95	14.32	0.6	1.67	1.03	0.62
chr19	49106000	49107000	4.82	3.8	30.49	10.45	17.63	0.52	2.04	1.59	0.77
chr19	49107000	49108000	16.75	10.07	24.31	31.2	19.32	0.44	1.53	4.26	2.15
chr19	49108000	49109000	9.44	7.0	24.23	30.49	17.09	0.76	1.4	6.29	2.8
chr19	49109000	49110000	6.77	5.45	36.26	36.58	32.88	0.61	2.87	5.15	3.32
chr19	49110000	49111000	2.31	1.84	35.79	3.29	46.33	0.44	1.78	0.52	0.31
chr19	49111000	49112000	1.34	1.29	5.08	2.65	2.79	0.43	0.57	0.46	0.36
chr19	49112000	49113000	0.84	0.3	1.64	3.83	0.86	0.11	0.29	0.21	0.26
chr19	49113000	49114000	0.69	0.68	1.29	1.6	1.19	0.32	0.26	0.51	0.21
chr19	49114000	49115000	0.43	0.56	4.32	2.69	2.13	0.22	0.6	0.17	0.15
chr19	49115000	49116000	0.71	0.36	4.9	1.98	4.9	0.31	0.43	0.7	0.37
chr19	49116000	49117000	2.44	1.88	13.66	7.35	18.21	0.41	3.18	1.43	0.73
chr19	49117000	49118000	1.52	1.36	6.96	4.75	7.66	0.25	1.3	1.36	1.0
chr19	49118000	49119000	1.19	1.02	7.8	6.7	6.25	0.22	0.72	1.22	0.88
chr19	49119000	49120000	0.29	0.11	7.73	7.5	3.36	0.07	0.5	0.56	0.57
chr19	49120000	49121000	0.18	0.18	8.37	2.53	4.84	0.21	0.88	0.21	0.26
chr19	49121000	49122000	0.18	0.12	2.98	0.16	1.25	0.11	0.38	0.13	0.0
chr19	49122000	49123000	0.15	0.03	0.35	0.36	0.11	0.0	0.08	0.22	0.15
chr19	49123000	49124000	0.15	0.09	0.4	0.18	0.33	0.55	0.18	0.4	0.31
chr19	49124000	49125000	0.12	0.06	3.24	0.42	3.58	1.29	0.66	0.3	0.11
chr19	49125000	49126000	0.12	0.3	6.65	1.33	7.93	2.23	1.42	0.3	0.37
chr19	49126000	49127000	0.24	0.0	4.55	0.7	9.95	3.07	1.01	0.32	0.2
chr19	49127000	49128000	0.06	0.17	6.09	1.34	6.43	2.21	0.92	0.2	0.34
chr19	49128000	49129000	0.17	0.34	6.66	1.73	7.17	1.47	1.34	0.36	0.23
chr19	49129000	49130000	1.01	0.52	6.76	2.88	9.79	2.41	2.16	0.5	0.34
chr19	49130000	49131000	0.24	0.13	7.34	1.28	8.5	2.59	1.52	0.34	0.25
chr19	49131000	49132000	0.0	0.0	2.65	0.45	5.22	1.7	0.46	0.16	0.15
chr19	49132000	49133000	0.28	0.0	5.37	1.36	8.7	2.94	1.12	0.21	0.2
chr19	49133000	49134000	0.5	0.17	6.05	1.48	5.46	1.13	0.85	0.38	0.3
chr19	49134000	49135000	0.71	0.35	2.79	2.39	1.39	0.47	1.15	0.52	0.34
chr19	49135000	49136000	0.34	0.13	4.47	1.74	4.28	0.73	0.56	0.46	0.31
chr19	49136000	49137000	1.31	1.03	7.0	5.03	6.17	0.93	0.71	1.29	0.69
chr19	49137000	49138000	1.18	0.31	5.17	3.69	5.19	0.49	0.19	0.42	0.67
chr19	49138000	49139000	2.18	0.74	4.78	4.04	3.76	0.76	0.59	0.42	0.52
chr19	49139000	49140000	0.93	0.28	5.16	2.27	5.19	0.98	0.53	0.74	0.29
chr19	49140000	49141000	0.07	0.34	3.47	3.33	5.56	1.34	0.56	0.61	0.22
chr19	49141000	49142000	0.85	0.39	7.1	3.07	4.6	1.47	0.62	0.45	0.25
chr19	49142000	49143000	1.33	1.19	5.77	2.65	3.59	0.67	0.7	0.54	0.3
chr19	49143000	49144000	0.46	0.26	3.11	2.41	1.31	0.56	0.27	0.65	0.61
chr19	49144000	49145000	0.05	0.06	4.21	2.65	6.19	0.68	0.4	0.32	0.11
chr19	49145000	49146000	0.78	0.36	5.02	2.69	8.79	0.4	0.79	0.56	0.31
chr19	49146000	49147000	0.5	0.43	4.24	3.26	5.28	0.11	0.66	1.14	0.69
chr19	49147000	49148000	1.18	0.65	7.45	4.01	8.98	0.76	0.59	0.73	0.35
chr19	49148000	49149000	1.82	1.57	7.83	4.61	8.86	0.6	1.07	0.91	0.61
chr19	49149000	49150000	0.79	0.23	10.03	6.79	10.57	0.37	0.79	1.79	0.74
chr19	49150000	49151000	1.52	0.61	6.91	6.72	9.49	0.22	1.26	0.94	0.69
chr19	49151000	49152000	0.8	0.79	8.03	3.49	8.51	2.91	1.63	1.04	0.56
chr19	49152000	49153000	0.26	0.55	5.23	0.85	6.97	2.01	1.21	0.62	0.57
chr19	49153000	49154000	0.21	0.71	9.98	1.76	9.41	3.93	1.59	1.16	0.52
chr19	49154000	49155000	0.11	0.12	9.48	0.63	9.12	5.07	2.25	0.21	0.27
chr19	49155000	49156000	0.12	0.0	8.45	0.92	9.19	2.5	1.68	0.27	0.2
chr19	49156000	49157000	0.0	0.0	4.84	0.98	7.61	2.76	1.3	0.19	0.15
chr19	49157000	49158000	0.12	0.0	4.58	0.8	5.74	2.88	1.32	0.3	0.14
chr19	49158000	49158213	0.06103286384976526	0.0	7.15962441314554	1.375586854460094	7.699530516431925	3.8732394366197185	2.3896713615023475	0.5305164319248826	0.215962441314554
chr19	49441111	49442000	0.44881889763779526	0.21372328458942633	4.27896512935883	0.6400449943757031	6.2013498312710915	0.9640044994375703	0.7536557930258717	0.6062992125984252	0.15748031496062992
chr19	49442000	49443000	0.58	0.46	5.15	1.06	4.29	0.38	1.02	0.47	0.37
